Title,Date,Rating,Genre,Director,IMDB
Flash of Genius,1/1/2015,3,Biography,Marc Abraham,http://www.imdb.com/title/tt1054588/
Barry Lyndon,1/2/2015,5,Drama,Stanley Kubrick,http://www.imdb.com/title/tt0072684/
Boardwalk Empire Season 3,1/2/2015,4,Drama,Various,http://www.imdb.com/title/tt0979432/
The Inbetweeners 2,1/3/2015,2,Comedy,"Damon Beesley,Iain Morris",http://www.imdb.com/title/tt3097204/
Trap for Cinderella,1/9/2015,2,Crime,Iain Softley,http://www.imdb.com/title/tt1766175/
I Knew It Was You: Rediscovering John Cazale,1/21/2015,3,Documentary,Richard Shepard,http://www.imdb.com/title/tt1352717/
The Conversation,1/22/2015,3,Drama,Francis Ford Coppola,http://www.imdb.com/title/tt0071360/
Lucy,1/24/2015,2,Action,Luc Besson,http://www.imdb.com/title/tt2872732/
Donnie Brasco,1/25/2015,3,Biography,Mike Newell,http://www.imdb.com/title/tt0119008/
Halt and Catch Fire,1/27/2015,4,Drama,"Christopher Cantwell, Christopher C. Rogers",http://www.imdb.com/title/tt2543312/
Maps to the Stars,1/31/2015,3,Drama,David Cronenberg,http://www.imdb.com/title/tt2172584/
The Drop,1/31/2015,3,Crime,Michaël R. Roskam,http://www.imdb.com/title/tt1600196/
Boyhood,1/31/2015,4,Drama,Richard Linklater,http://www.imdb.com/title/tt1065073/
The East,2/5/2015,2,Drama,Zal Batmanglij,http://www.imdb.com/title/tt1869716/
Watchmen,2/7/2015,3,Action,Zack Snyder,http://www.imdb.com/title/tt0409459/
Whiplash,2/7/2015,4,Drama,Damien Chazelle,http://www.imdb.com/title/tt2582802/
The Internet's Own Boy: The Story of Aaron Swartz,2/8/2015,4,Documentary,Brian Knappenberger,http://www.imdb.com/title/tt3268458/
Soul Boys of the Western World,2/13/2015,3,Documentary,George Hencken,http://www.imdb.com/title/tt3636326/
The Infidel,2/14/2105,2,Comedy,Josh Appignanesi,http://www.imdb.com/title/tt1424003/
Grey Gardens,2/16/2015,3,Documentary,"Ellen Hovde, Albert Maysles, David Maysles, Muffie Meyer",http://www.imdb.com/title/tt0073076/
Starring Adam West,2/19/2015,1,Documentary,James E. Tooley,http://www.imdb.com/title/tt2719448/
Gone Girl,2/20/2015,3,Drama,David Fincher,http://www.imdb.com/title/tt2267998/
Bill Cunningham New York,2/21/2015,3,Documentary,Richard Press,http://www.imdb.com/title/tt1621444/
The Wee Man,2/21/2015,3,Crime,Ray Burdis,http://www.imdb.com/title/tt2113809/
The Imitation Game,2/22/2015,4,Biography,Morten Tyldum,http://www.imdb.com/title/tt2084970/
Tracks,2/26/2015,2,Biography,John Curran,http://www.imdb.com/title/tt2167266/
Birdman: Or (The Unexpected Virtue of Ignorance),2/27/2015,4,Comedy,Alejandro González Iñárritu,http://www.imdb.com/title/tt2562232/
Joy Division,2/27/2015,4,Documentary,Grant Gee,http://www.imdb.com/title/tt1097239/
Cuban Fury,2/28/2015,3,Comedy,James Griffiths,http://www.imdb.com/title/tt2390237/
Foxcatcher,2/28/2015,4,Biography,Bennett Miller,http://www.imdb.com/title/tt1100089/
Fury,3/13/2015,3,Action,David Ayer,http://www.imdb.com/title/tt2713180/
'71,3/14/2015,3,Action,Yann Demange,http://www.imdb.com/title/tt2614684/
The Hunger Games: Mockingjay - Part 1,3/21/2015,2,Adventure, Francis Lawrence,http://www.imdb.com/title/tt1951265/
Houdini,3/21/2015,3,Biography,Uli Edel,http://www.imdb.com/title/tt3132738/
Rudderless,3/22/2015,3,Drama,William H. Macy,http://www.imdb.com/title/tt1798243/
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,3/26/2015,3,Documentary,Molly Bernstein,http://www.imdb.com/title/tt2654360/
Zach Galifianakis: Live at the Purple Onion,3/28/2015,2,Documentary,Michael Blieden,http://www.imdb.com/title/tt0804558/
American Sniper,3/29/2015,4,Biography,Clint Eastwood,http://www.imdb.com/title/tt2179136/
Contraband,3/29/2015,3,Action,Baltasar Kormákur,http://www.imdb.com/title/tt1524137/
"Deux jours, une nuit",3/30/2015,3,Drama,"Jean-Pierre Dardenne, Luc Dardenne",http://www.imdb.com/title/tt2737050/
Adult World,4/1/2015,1,Comedy,Scott Coffey,http://www.imdb.com/title/tt1067765/
Hitchcock,4/3/2015,3,Biography,Sacha Gervasi,http://www.imdb.com/title/tt0975645/
Atari: Game Over,4/3/2015,3,Documentary,Zak Penn,http://www.imdb.com/title/tt3715406/
The Riot Club,4/3/2015,2,Drama,Lone Scherfig,http://www.imdb.com/title/tt2717860/
Enemy,4/4/2015,2,Mystery,Denis Villeneuve,http://www.imdb.com/title/tt2316411/
Pride,4/5/2015,3,Comedy,Matthew Warchus,http://www.imdb.com/title/tt3169706/
The Expelled,4/6/2015,2,Horror,Johannes Roberts,http://www.imdb.com/title/tt1486670/
Mr. Turner,4/10/2015,3,Biography,Mike Leigh,http://www.imdb.com/title/tt2473794/
Earth to Echo,4/12/2015,2,Sci-Fi,Dave Green,http://www.imdb.com/title/tt2183034/
The Notorious Mr. Bout,4/15/2015,2,Documentary,"Tony Gerber, Maxim Pozdorovkin",http://www.imdb.com/title/tt3460064/
Delivery Man,4/17/2015,2,Comedy,Ken Scott,http://www.imdb.com/title/tt2387559/
Discovering Electronic Music,4/17/2105,3,Documentary,Bernard Wilets,http://www.imdb.com/title/tt2784596/
Pompeii,4/18/2015,2,Action,Paul W.S. Anderson,http://www.imdb.com/title/tt1921064/
Bukowski: Born into This,4/18/2015,3,Documentary,John Dullaghan,http://www.imdb.com/title/tt0342150/
The Selfish Giant,4/27/2015,3,Drama,Clio Barnard,http://www.imdb.com/title/tt2304426/
Video Games: The Movie,4/30/2015,1,Documentary,Jeremy Snead,http://www.imdb.com/title/tt3214002/
Percy Jackson and the Olympians: The Lightning Thief,4/30/2015,2,Adventure,Chris Columbus,http://www.imdb.com/title/tt0814255/
God Help the Girl,5/1/2015,3,Drama,Stuart Murdoch,http://www.imdb.com/title/tt2141751/
St. Vincent,5/1/2015,3,Comedy,Theodore Melfi,http://www.imdb.com/title/tt2170593/
Stalingrad,5/6/2015,3,War,Fedor Bondarchuk,http://www.imdb.com/title/tt1966566/
The Box Trolls,5/9/2015,3,Animation,"Graham Annable, Anthony Stacchi",http://www.imdb.com/title/tt0787474/
Black Angel,5/15/2015,3,Short,Roger Christian,http://www.imdb.com/title/tt0130508/
Inherent Vice,5/16/2015,3,Crime,Paul Thomas Anderson,http://www.imdb.com/title/tt1791528/
Horrible Bosses 2,5/16/2015,2,Comedy,Sean Anders,http://www.imdb.com/title/tt2170439/
Big Eyes,5/16/2015,3,Biography,Tim Burton,http://www.imdb.com/title/tt1126590/
Kingsman: The Secret Service,5/16/2015,3,Action,Matthew Vaughn,http://www.imdb.com/title/tt2802144/
Unbroken,5/16/2015,3,Biography,Angelina Jolie,http://www.imdb.com/title/tt1809398/
Jimi: All Is by My Side,5/21/2015,3, Biography,John Ridley,http://www.imdb.com/title/tt2402085/
Who the F**K Is Arthur Fogel,5/21/2015,2,Documentary,Ron Chapman,http://www.imdb.com/title/tt3479180/
All This Mayhem,5/21/2015,4,Documentary,Eddie Martin,http://www.imdb.com/title/tt2938416/
Ray Harryhausen: Special Effects Titan,5/22/2013,3,Documentary,Gilles Penso,http://www.imdb.com/title/tt1839590/
Mad Max: Fury Road,5/22/2015,4,Action,George Miller,http://www.imdb.com/title/tt1392190/
Bande de filles,5/22/2015,3,Drama,Céline Sciamma,http://www.imdb.com/title/tt3655522/
Snowpiercer,5/22/2015,2,Action,Joon-ho Bong,http://www.imdb.com/title/tt1706620/
Das wilde Leben,5/22/2015,2,Biography,Achim Bornhak,http://www.imdb.com/title/tt0764639/
Tomorrowland,5/23/2015,3,Adventure,Brad Bird,http://www.imdb.com/title/tt1964418/
Ex Machina,5/25/2015,4,Sci-Fi,Alex Garland,http://www.imdb.com/title/tt0470752/
The Gambler,5/25/2015,2,Drama,Rupert Wyatt,http://www.imdb.com/title/tt2039393/
Good Ol' Freda,5/29/2015,2,Biography,Ryan White,http://www.imdb.com/title/tt2505938/
Easy Money II: Hard to Kill,5/29/2015,3,Crime,Babak Najafi,http://www.imdb.com/title/tt1588342/
The Great Gatsby,6/4/2015,3,Drama,Baz Luhrmann,http://www.imdb.com/title/tt1343092/
