wTitle,Date,Rating,Genre,Director,IMDB
John Wick: Chapter 3 - Parabellum,1/2/2020,3,Action,Chad Stahelski,https://www.imdb.com/title/tt6146586/
Stones in Exile, 1/10/2020,3,Documentary,Stephen Kijak,https://www.imdb.com/title/tt1609157/
Dogtown and Z-Boys,1/12/2020,4,Documentary,Stacy Peralta,https://www.imdb.com/title/tt0275309/
Hair I Go Again,1/20/2020,3,Documentary,Steve McClure,https://www.imdb.com/title/tt2388677/
Fisherman's Friends,1/23/2020,3,Comedy,Chris Foggin,https://www.imdb.com/title/tt1648186/
Waiting for Lightning,1/26/2020,3,Documentary,Jacob Rosenberg,https://www.imdb.com/title/tt1754853/
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",1/27/2020,3,Documentary,Mark Hartley,https://www.imdb.com/title/tt0996966/
Bicycle,1/29/2020,3,Documentary,Michael B. Clifford,https://www.imdb.com/title/tt3779782/
Miss Americana,1/31/2020,3,Documentary,Lana Wilson,https://www.imdb.com/title/tt11388580/
Lemmy,2/1/2020,4,Documentary,"Greg Olliver, Wes Orshoski",https://www.imdb.com/title/tt1236472/
Rush: Beyond the Lighted Stage,2/6/2020,4,Documentary,"Sam Dunn, Scot McFadyen",https://www.imdb.com/title/tt1545103/
No Manifesto: A Film About Manic Street Preachers,2/7/2020,3,Documentary,Elizabeth Marcus,https://www.imdb.com/title/tt4268850/
Jonestown: Terror in the Jungle,2/7/2020,3,Documentary,"Richard Lopez, Shan Nicholson",https://www.imdb.com/title/tt8014232/
Uncut Gems,2/13/2020,4,Crime,"Benny Safdie, Josh Safdie",https://www.imdb.com/title/tt5727208/
Lady Bird,2/14/2020,3,Comedy,Greta Gerwig,https://www.imdb.com/title/tt4925292/
Darkest Hour,2/15/2020,4,Biography,Joe Wright,https://www.imdb.com/title/tt4555426/
The Pharmacist,2/16/2020,4,Documentary,"Jenner Furst, Julia Willoughby Nason",https://www.imdb.com/title/tt11600174/
The Hustle,2/16/2020,2,Comedy,Chris Addison,https://www.imdb.com/title/tt1298644/
Running with the Devil,2/17/2020,2,Crime,Jason Cabell,https://www.imdb.com/title/tt5792656/
Booksmart,2/18/2020,3,Comedy,Olivia Wilde,https://www.imdb.com/title/tt1489887/
Long Shot,2/19/2020,3,Comedy,Jonathan Levine,https://www.imdb.com/title/tt2139881/
Enron: The Smartest Guys in the Room,3/1/2020,3,Documentary,Alex Gibney,https://www.imdb.com/title/tt1016268/
Everybody's Everything,3/4/2020,3,Documentary," Sebastian Jones, Ramez Silyan",https://www.imdb.com/title/tt9617716/
Begin Again,3/10/2020,3,Comedy,John Carney,https://www.imdb.com/title/tt1980929/
The Aeronauts,3/11/2020,3,Action,Tom Harper,https://www.imdb.com/title/tt6141246/
Deep Web,3/12/2020,3,Documentary,Alex Winter,https://www.imdb.com/title/tt3312868/
White Boy,3/14/2020,3,Documentary,Shawn Rech,https://www.imdb.com/title/tt5635638/
Miles Davis: Birth of the Cool,3/15/2020,4,Documentary,Stanley Nelson,https://www.imdb.com/title/tt9358200/
Point Break,3/16/2020,3,Action,Kathryn Bigelow,https://www.imdb.com/title/tt0102685/
Horn from the Heart: The Paul Butterfield Story,3/18/2020,3,Documentary,John Anderson,https://www.imdb.com/title/tt6777184/
How to Be a Latin Lover,3/19/2020,2,Comedy,Ken Marino,https://www.imdb.com/title/tt4795124/
Blinded by the Light,3/19/2020,3,Comedy,Gurinder Chadha,https://www.imdb.com/title/tt8266310/
Skin,3/20/2020,4,Biography,Guy Nattiv,https://www.imdb.com/title/tt6043142/
McQueen: The Man & Le Mans,3/20/2020,4,Documentary,"Gabriel Clarke, John McKenna",https://www.imdb.com/title/tt3504604/
Comfort and Joy,3/21/2020,2,Comedy,Bill Forsyth,https://www.imdb.com/title/tt0087072/ 
The Professor and the Madman,3/21/2020,3,Biography,Farhad Safinia,https://www.imdb.com/title/tt5932728/
Icarus,3/22/2020,4,Documentary,Bryan Fogel,https://www.imdb.com/title/tt6333060/
Animals,3/22/2020,3,Drama,Sophie Hyde,https://www.imdb.com/title/tt4426738/
Lost in Translation,3/24/2020,4,Drama,Sofia Coppola,https://www.imdb.com/title/tt0335266/
The Dirt,3/24/2020,3,Biography,Jeff Tremaine,https://www.imdb.com/title/tt0800325/
Film Stars Don't Die in Liverpool,3/25/2020,3,Biography,Paul McGuigan,https://www.imdb.com/title/tt5711148/
"Tiger King: Murder, Mayhem and Madness",3/25/2020,4,Documentary,"Rebecca Chaiklin, Eric Goode",https://www.imdb.com/title/tt11823076/
The Leisure Seeker,3/26/2020,3,Drama,Paolo Virzì,https://www.imdb.com/title/tt3741632/
The Big Sick,3/27/2020,3,Comedy,Michael Showalter,https://www.imdb.com/title/tt5462602/
Phantom Thread,3/28/2020,5,Drama,Paul Thomas Anderson,https://www.imdb.com/title/tt5776858/
Hype!,3/28/2020,2,Documentary,Doug Pray,https://www.imdb.com/title/tt0116589/
Everest,3/28/2020,3,Action,Baltasar Kormákur,https://www.imdb.com/title/tt2719848/
The Goob,3/30/2020,3,Drama,Guy Myhill,https://www.imdb.com/title/tt3009070/
QT8: The First Eight,4/1/2020,3,Documentary,Tara Wood,https://www.imdb.com/title/tt4329810/
Ultras,4/3/2020,2,Drama,Francesco Lettieri,https://www.imdb.com/title/tt10937434/
The House,4/4/2020,1,Comedy,Andrew Jay Cohen,https://www.imdb.com/title/tt4481514/
I Am Mother,4/5/2020,3,Sci-Fi,Grant Sputore,https://www.imdb.com/title/tt6292852/
Hustlers,4/6/2020,2,Drama,Lorene Scafaria,https://www.imdb.com/title/tt5503686/
Coldplay: A Head Full of Dreams,4/9/2020,2,Documentary,Mat Whitecross,https://www.imdb.com/title/tt9095324/
Fyre,4/10/2020,3,Documentary,Chris Smith,https://www.imdb.com/title/tt9412098/
LA Originals,4/11/2020,4,Documentary,Estevan Oriol,https://www.imdb.com/title/tt12027020/
AlphaGo,4/13/2020,4,Documentary,Greg Kohs,https://www.imdb.com/title/tt6700846/
Sergio,4/15/2020,2,Drama,Greg Barker,https://www.imdb.com/title/tt8750570/
The King of Arcades,4/16/2020,2,Documentary,Sean Tiedeman,https://www.imdb.com/title/tt2395228/
Bandslam,4/19/2020,2,Drama,Todd Graff,https://www.imdb.com/title/tt0976222/
Operation Odessa,4/21/2020,3,Documentary,Tiller Russell,https://www.imdb.com/title/tt7983794/
Mountain Biking: The Untold British Story,4/23/2020,4,Documentary,Michael B. Clifford,https://www.imdb.com/title/tt5947702/
Julian Schnabel: A Private Portrait,4/25/2020,4,Documentary,Pappi Corsicato,https://www.imdb.com/title/tt6794464/
Con Man,4/25/2020,2,Crime,Bruce Caulk,https://www.imdb.com/title/tt6675400/
The Price Of Everything,4/26/2020,4,Documentary,Nathaniel Kahn,https://www.imdb.com/title/tt7475540/
Extraction,4/27/2020,2,Action,Sam Hargrave,https://www.imdb.com/title/tt8936646/
Filmed in Supermarionation,4/29/2020,3,Documentary,Stephen La Rivière,https://www.imdb.com/title/tt3702706/
Caffeine,4/30/2020,1,Comedy,John Cosgrove,https://www.imdb.com/title/tt0460732/
Hollywood,5/1/2020,3,Drama,"Ian Brennan, Ryan Murphy",https://www.imdb.com/title/tt9827854/
Heaven Adores You,5/2/2020,3,Documentary,Nickolas Dylan Rossi,https://www.imdb.com/title/tt2244889/
The Big Short,5/6/2020,4,Biography,Adam McKay,https://www.imdb.com/title/tt1596363/
Ready Player One,5/7/2020,3,Action,Steven Spielberg,https://www.imdb.com/title/tt1677720/
Nobody Speak: Trials of the Free Press,5/7/2020,3,Documentary,Brian Knappenberger,https://www.imdb.com/title/tt6333064/
Vengeance: A Love Story,5/8/2020,1,Action,Johnny Martin,https://www.imdb.com/title/tt5460530/
Cracked Up,5/8/2020,2,Documentary,Michelle Esrick,https://www.imdb.com/title/tt5165880/
Blackfish,5/13/2020,3,Documentary,Gabriela Cowperthwaite,https://www.imdb.com/title/tt2545118/
American Beauty,5/13/2020,4,Drama,Sam Mendes,https://www.imdb.com/title/tt0169547/
Cowboys & Aliens,5/15/2020,2,Action,Jon Favreau,https://www.imdb.com/title/tt0409847/
The Wrong Missy,5/15/2020,2,Comedy,Tyler Spindel,https://www.imdb.com/title/tt9619798/
Adult Life Skills,5/17/2020,3,Comedy,Rachel Tunnard,https://www.imdb.com/title/tt4211044/
The Wolf of Wall Street,5/18/2020,4,Biography,Martin Scorsese,https://www.imdb.com/title/tt0993846/
Wrath of the Titans,5/20/2020,2,Action,Jonathan Liebesman,https://www.imdb.com/title/tt1646987/
Kollektivet,5/21/2020,3,Drama,Thomas Vinterberg,https://www.imdb.com/title/tt3082854/
The Bikes of Wrath,5/22/2020,4,Documentary,"Cameron Ford, Charlie Turnbull",https://www.imdb.com/title/tt7577142/
Killer Elite,5/24/2020,2,Action,Gary McKendry,https://www.imdb.com/title/tt1448755/
The Soloist,5/23/2020,3,Biography,Joe Wright,https://www.imdb.com/title/tt0821642/
Contagion,5/24/2020,3,Action,Steven Soderbergh,https://www.imdb.com/title/tt1598778/
Hannibal,5/26/2020,3,Crime,Ridley Scott,https://www.imdb.com/title/tt0212985/
Generation Startup,5/28/2020,3,Documentary,"Cheryl Miller Houser, Cynthia Wade",https://www.imdb.com/title/tt5535726/
Gangster's Paradise: Jerusalema,5/28/2020,3,Action,Ralph Ziman,https://www.imdb.com/title/tt0783532/
Leave No Trace,5/30/2020,3,Drama,Debra Granik,https://www.imdb.com/title/tt3892172/
The Assignment,6/1/2020,1,Action,Walter Hill,https://www.imdb.com/title/tt5034474/
American Made,6/1/2020,3,Action,Doug Liman,https://www.imdb.com/title/tt3532216/
The Bank Job,6/2/2020,3,Crime,Roger Donaldson,https://www.imdb.com/title/tt0200465/
loudQUIETloud: A Film About the Pixies,6/2/2020,3,Documentary,"Steven Cantor,Matthew Galkin",https://www.imdb.com/title/tt0449121/
Menace II Society,6/3/2020,3,Crime,"Albert Hughes,Allen Hughes",https://www.imdb.com/title/tt0107554/
"Garth Brooks: The Road I'm On",6/5/2020,3,Documentary,Al Szymanski,https://www.imdb.com/title/tt10095402/
Life of Pi,6/5/2020,4,Adventure,Ang Lee,https://www.imdb.com/title/tt0454876/
The Last Days of American Crime,6/7/2020,1,Action,Olivier Megaton,https://www.imdb.com/title/tt1552211/
Almost Famous,6/11/2020,4,Adventure,Cameron Crowe,https://www.imdb.com/title/tt0181875/
Terminal,6/12/2020,2,Crime,Vaughn Stein,https://www.imdb.com/title/tt4463816/
Da 5 Bloods,6/13/2020,3,Drama,Spike Lee,https://www.imdb.com/title/tt9777644/
Travis Scott: Look Mom I Can Fly,6/14/2020,2,Documentary,"White Trash Tyler, Isaac Yowman",https://www.imdb.com/title/tt10856726/
The Hangover,6/14/2020,3,Comedy,Todd Phillips,https://www.imdb.com/title/tt1119646/
The Hangover Part II,6/15/2020,2,Comedy,Todd Phillips,https://www.imdb.com/title/tt1411697/
The Hangover Part III,6/16/2020,3,Comedy,Todd Phillips,https://www.imdb.com/title/tt1951261/
Ned Kelly,6/18/2020,2,Action,Gregor Jordan,https://www.imdb.com/title/tt0277941/
Friday Night Lights,6/20/2020,3,Drama,Peter Berg,https://www.imdb.com/title/tt0390022/
Working Class Rock Star,6/21/2020,2,Documentary,Justin McConnell,https://www.imdb.com/title/tt1212911/
"Scenesters: Music, Mayhem and Melrose ave. 1985-1990",6/22/2020,2,Documentary,Desi Benjamin,https://www.imdb.com/title/tt6402950/
McFarland,6/27/2020,3,Biography,Niki Caro,https://www.imdb.com/title/tt2097298/
Eurovision Song Contest: The Story of Fire Saga,6/29/2020,2,Comedy,David Dobkin,https://www.imdb.com/title/tt8580274/
Dolly Parton: Here I Am,7/1/2020,3,Documentary,Francis Whately,https://www.imdb.com/title/tt11497544/
Turn It Up!,7/2/2020,2,Documentary,Robert Radler,https://www.imdb.com/title/tt1112291/
This Is Where I Leave You,7/3/2020,3,Comedy,Shawn Levy,https://www.imdb.com/title/tt1371150/
David Foster: Off the Record,7/4/2020,2,Documentary,Barry Avrich,https://www.imdb.com/title/tt10655608/
